date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:16	20/20	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:15%20GMT	https://ibeeanalytics.com/robots.txt		(from )
17:10:16	45983/45983	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:15%20GMT	https://ibeeanalytics.com/	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/index.html	(from )
17:10:17	42858/42858	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2002:22:40%20GMT	https://ibeeanalytics.com/assets/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/favicon/apple-touch-icon.png	(from https://ibeeanalytics.com/)
17:10:18	2544/2544	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2002:22:43%20GMT	https://ibeeanalytics.com/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/favicon/favicon-32x32.png	(from https://ibeeanalytics.com/)
17:10:18	1190/1190	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2002:22:41%20GMT	https://ibeeanalytics.com/assets/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/favicon/favicon-16x16.png	(from https://ibeeanalytics.com/)
17:10:19	291/291	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2002:22:44%20GMT	https://ibeeanalytics.com/assets/img/favicon/site.webmanifest	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/favicon/site.html	(from https://ibeeanalytics.com/)
17:10:19	144877/144877	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/My%20Web%20Sites/ibee/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://ibeeanalytics.com/)
17:10:19	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/ibee/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://ibeeanalytics.com/)
17:10:20	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/My%20Web%20Sites/ibee/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://ibeeanalytics.com/)
17:10:20	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/My%20Web%20Sites/ibee/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://ibeeanalytics.com/)
17:10:20	55111/55111	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-d747%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.0/css/all.min.css	C:/My%20Web%20Sites/ibee/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.0/css/all.min.css	(from https://ibeeanalytics.com/)
17:10:22	59426/59426	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/animate.min.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/animate.min.css	(from https://ibeeanalytics.com/)
17:10:22	2505/2505	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf2-9c9%22	https://cdnjs.cloudflare.com/ajax/libs/SlickNav/1.0.10/slicknav.min.css	C:/My%20Web%20Sites/ibee/cdnjs.cloudflare.com/ajax/libs/SlickNav/1.0.10/slicknav.min.css	(from https://ibeeanalytics.com/)
17:10:23	18840/18840	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/pricing-table.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/pricing-table.css	(from https://ibeeanalytics.com/)
17:10:23	3351/3351	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/owl.carousel.min.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/owl.carousel.min.css	(from https://ibeeanalytics.com/)
17:10:24	18726/18726	---M-Z	200	added ('OK')	text/css	etag:%225ed1ad4b-4926%22	https://cdnjs.cloudflare.com/ajax/libs/venobox/1.8.9/venobox.min.css	C:/My%20Web%20Sites/ibee/cdnjs.cloudflare.com/ajax/libs/venobox/1.8.9/venobox.min.css	(from https://ibeeanalytics.com/)
17:10:24	126135/126135	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/main.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/main.css	(from https://ibeeanalytics.com/)
17:10:25	8336/8336	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/responsive.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/responsive.css	(from https://ibeeanalytics.com/)
17:10:26	5564/5564	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/css/enquiry.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/css/enquiry.css	(from https://ibeeanalytics.com/)
17:10:26	20106/20106	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from https://ibeeanalytics.com/)
17:10:27	28765/28765	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:46:46%20GMT	https://ibeeanalytics.com/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/aos/aos.css	(from https://ibeeanalytics.com/)
17:10:29	232914/232914	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:48:22%20GMT	https://ibeeanalytics.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://ibeeanalytics.com/)
17:10:29	93734/93734	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:46:53%20GMT	https://ibeeanalytics.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://ibeeanalytics.com/)
17:10:30	13749/13749	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:49:06%20GMT	https://ibeeanalytics.com/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://ibeeanalytics.com/)
17:10:30	120730/120730	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:47:07%20GMT	https://ibeeanalytics.com/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/remixicon/remixicon.css	(from https://ibeeanalytics.com/)
17:10:31	16493/16493	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:47:31%20GMT	https://ibeeanalytics.com/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://ibeeanalytics.com/)
17:10:32	56229/56229	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2001:44:34%20GMT	https://ibeeanalytics.com/assets/css/style.css	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/css/style.css	(from https://ibeeanalytics.com/)
17:10:33	27533/27533	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202023%2001:45:16%20GMT	https://ibeeanalytics.com/assets/img/IBEE_WITH_CAP.jpeg	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/IBEE_WITH_CAP.jpg	(from https://ibeeanalytics.com/)
17:10:33	29844/29844	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:32%20GMT	https://ibeeanalytics.com/services	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/services.html	(from https://ibeeanalytics.com/)
17:10:34	26436/26436	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:33%20GMT	https://ibeeanalytics.com/pricing	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/pricing.html	(from https://ibeeanalytics.com/)
17:10:34	23480/23480	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:33%20GMT	https://ibeeanalytics.com/contact	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/contact.html	(from https://ibeeanalytics.com/)
17:10:35	23728/23728	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:34%20GMT	https://ibeeanalytics.com/hire-me	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/hire-me.html	(from https://ibeeanalytics.com/)
17:10:36	2325558/2325558	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202023%2001:44:43%20GMT	https://ibeeanalytics.com/assets/img/10780311_19198948.jpg	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/10780311_19198948.jpg	(from https://ibeeanalytics.com/)
17:10:37	65408/65408	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202023%2001:45:16%20GMT	https://ibeeanalytics.com/assets/img/image1.jpg	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/image1.jpg	(from https://ibeeanalytics.com/)
17:10:37	20762/20762	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:26%20GMT	https://ibeeanalytics.com/assets/img/values-1.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-1.png	(from https://ibeeanalytics.com/)
17:10:38	22703/22703	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:27%20GMT	https://ibeeanalytics.com/assets/img/values-2.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-2.png	(from https://ibeeanalytics.com/)
17:10:39	20066/20066	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:27%20GMT	https://ibeeanalytics.com/assets/img/values-3.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-3.png	(from https://ibeeanalytics.com/)
17:10:41	146165/146165	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:32%20GMT	https://ibeeanalytics.com/assets/img/values-5.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-5.png	(from https://ibeeanalytics.com/)
17:10:41	2673189/2673189	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:31%20GMT	https://ibeeanalytics.com/assets/img/values-4.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-4.png	(from https://ibeeanalytics.com/)
17:10:43	4696/4696	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202023%2011:40:42%20GMT	https://ibeeanalytics.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/cdn-cgi/l/email-protection.html	(from https://ibeeanalytics.com/)
17:10:43	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22652d1f47-4d7%22	https://ibeeanalytics.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://ibeeanalytics.com/)
17:10:43	2990369/2990369	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202023%2001:45:51%20GMT	https://ibeeanalytics.com/assets/img/values-6.png	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/values-6.png	(from https://ibeeanalytics.com/)
17:10:44	444064/444064	---M--	200	added ('OK')	image/gif	date:Thu,%2019%20Oct%202023%2001:45:21%20GMT	https://ibeeanalytics.com/assets/img/mobile_marketing.gif	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/assets/img/mobile_marketing.gif	(from https://ibeeanalytics.com/)
17:10:44	97162/97162	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/js/vendor/jquery-1.12.4.min.js	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/js/vendor/jquery-1.12.4.min.js	(from https://ibeeanalytics.com/)
17:10:45	8492/8492	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-212c%22	https://cdnjs.cloudflare.com/ajax/libs/SlickNav/1.0.10/jquery.slicknav.min.js	C:/My%20Web%20Sites/ibee/cdnjs.cloudflare.com/ajax/libs/SlickNav/1.0.10/jquery.slicknav.min.js	(from https://ibeeanalytics.com/)
17:10:46	44342/44342	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Sep%202023%2014:11:42%20GMT	https://ibeeanalytics.com/theme/js/owl.carousel.min.js	C:/My%20Web%20Sites/ibee/ibeeanalytics.com/theme/js/owl.carousel.min.js	(from https://ibeeanalytics.com/)
